Open,Close,High,Low,Number of Trades,Volume,Volume Weighted Average,Increase
148.9199,148.915,148.925,148.91,40,1596,148.918338,0
148.91,148.93,148.93,148.9,86,3245,148.911896,0
148.93,148.93,148.93,148.9201,58,2195,148.928679,0
148.92,148.96,148.965,148.92,179,9345,148.94083,0
148.965,148.97,148.97,148.965,35,1145,148.968639,0
148.97,148.97,148.99,148.97,140,7199,148.976828,1
148.96,148.94,148.97,148.94,73,2018,148.956964,1
148.935,148.8934,148.935,148.8902,58,1892,148.904421,0
148.895,148.92,148.92,148.8765,123,5677,148.900289,0
148.92,148.93,148.93,148.9043,60,5105,148.918191,0
148.935,148.955,148.955,148.935,40,1752,148.943602,1
148.96,148.94,148.96,148.92,105,6675,148.940971,1
148.91,148.907,148.91,148.9,29,2052,148.903078,1
148.9079,148.9,148.91,148.865,117,9083,148.899971,0
148.885,148.91,148.91,148.88,76,5889,148.897178,1
148.905,148.87,148.9078,148.87,56,3057,148.889132,0
148.87,148.9,148.9018,148.87,80,3601,148.882608,0
148.905,148.92,148.92,148.9,53,2631,148.910845,1
148.92,148.9195,148.9269,148.91,55,1995,148.917881,0
148.915,148.92,148.92,148.91,46,2254,148.913728,0
148.92,148.9701,148.9767,148.91,101,5512,148.930754,1
148.98,148.97,148.98,148.96,59,2793,148.970851,0
148.97,149.06,149.08,148.97,147,8089,149.034754,1
149.055,149.04,149.07,149.01,144,7129,149.042084,0
149.04,149.065,149.065,149.03,84,4365,149.049239,1
149.06,149.055,149.07,149.0543,63,2193,149.060739,1
149.0543,149.05,149.0543,149.035,62,2973,149.044589,0
149.06,149.07,149.08,149.06,54,2029,149.068984,0
149.07,149.07,149.08,149.06,63,3289,149.073705,0
149.07,149.1,149.1,149.05,114,4998,149.082069,0
149.09,149.123,149.123,149.09,56,3712,149.100437,0
149.12,149.13,149.13,149.105,69,3612,149.11993,1
149.12,149.12,149.15,149.12,101,4536,149.133077,1
149.117,149.11,149.125,149.11,69,2951,149.114821,1
149.1,149.09,149.1,149.07,102,3993,149.085508,1
149.09,149.08,149.1016,149.075,72,2876,149.091476,1
149.08,149.075,149.08,149.07,76,2460,149.07306,0
149.079,149.085,149.0884,149.079,71,5643,149.080433,0
149.08,149.12,149.1228,149.08,80,3565,149.103422,1
149.12,149.08,149.12,149.08,91,4064,149.094485,0
149.0863,149.145,149.145,149.0863,86,3992,149.116729,0
149.14,149.175,149.1782,149.14,94,5374,149.160727,1
149.1741,149.17,149.1741,149.16,66,2242,149.16888,0
149.175,149.1701,149.175,149.1508,57,2463,149.167449,0
149.18,149.19,149.195,149.18,79,2738,149.186942,0
149.19,149.21,149.22,149.155,189,10651,149.192444,1
149.21,149.19,149.21,149.18,68,2766,149.196254,1
149.1834,149.18,149.1834,149.15,112,5507,149.167846,0
149.17,149.187,149.187,149.1689,45,1612,149.175409,1
149.185,149.185,149.19,149.16,63,2270,149.177102,1
149.18,149.18,149.18,149.18,43,1103,149.180046,0
149.185,149.19,149.19,149.18,59,1968,149.182543,0
149.1899,149.2122,149.22,149.1899,52,2084,149.200449,0
149.22,149.265,149.27,149.22,82,5379,149.245968,1
149.265,149.26,149.265,149.24,120,4832,149.253795,1
149.25,149.2201,149.26,149.2201,90,3858,149.238267,1
149.22,149.2107,149.22,149.21,35,914,149.218947,1
149.2,149.2094,149.21,149.19,71,2072,149.198115,0
149.205,149.25,149.25,149.2001,69,3146,149.220618,0
149.26,149.26,149.2683,149.25,56,1689,149.25987,0
149.2639,149.2659,149.28,149.25,81,3454,149.265679,1
149.24,149.2395,149.25,149.21,91,3770,149.231672,0
149.26,149.2476,149.26,149.2476,52,1996,149.25365,0
149.2434,149.249,149.2522,149.24,66,2380,149.247619,0
149.24,149.25,149.25,149.23,112,5192,149.239087,1
149.25,149.24,149.26,149.24,100,4838,149.25257,1
149.23,149.225,149.239,149.225,29,921,149.234016,0
149.23,149.2522,149.2522,149.23,101,4660,149.241813,1
149.25,149.25,149.26,149.24,137,9957,149.255305,1
149.2465,149.21,149.2465,149.2,79,2857,149.221101,0
149.21,149.25,149.25,149.21,96,4751,149.234776,1
149.26,149.235,149.26,149.23,82,3694,149.24753,0
149.23,149.239,149.239,149.2178,103,5179,149.22923,0
149.235,149.24,149.25,149.23,67,2381,149.240135,1
149.23,149.18,149.23,149.18,133,4786,149.204871,1
149.175,149.13,149.175,149.13,141,4626,149.153232,0
149.1343,149.15,149.18,149.1343,134,6382,149.161899,1
149.135,149.09,149.137,149.085,160,9201,149.117455,0
149.095,149.135,149.14,149.09,165,9243,149.109005,0
149.14,149.18,149.21,149.14,93,4630,149.176589,0
149.18,149.2,149.2,149.17,80,3658,149.181513,0
149.2113,149.2,149.2113,149.2,44,1350,149.204855,0
149.21,149.205,149.21,149.2,84,3098,149.197947,0
149.205,149.21,149.2201,149.1878,166,8778,149.197967,1
149.21,149.19,149.215,149.19,104,6854,149.060782,0
149.19,149.19,149.21,149.18,104,3160,149.195348,0
149.2,149.21,149.21,149.195,90,8882,149.198881,0
149.215,149.26,149.26,149.215,95,4553,149.241244,0
149.26,149.28,149.28,149.255,122,4478,149.265883,0
149.2701,149.335,149.335,149.2701,181,6317,149.296782,0
149.33,149.37,149.379,149.33,111,7354,149.35333,1
149.375,149.365,149.39,149.365,168,7514,149.378628,0
149.35,149.38,149.38,149.34,96,4748,149.348552,0
149.38,149.39,149.405,149.38,139,6284,149.393122,1
149.405,149.37,149.405,149.36,84,3500,149.389514,1
149.37,149.33,149.37,149.33,172,8076,149.354301,0
149.33,149.3349,149.34,149.31,113,5235,149.323141,0
149.34,149.4,149.41,149.34,225,12089,149.371372,0
149.41,149.435,149.435,149.405,151,4823,149.41215,0
149.43,149.46,149.46,149.425,165,8591,149.444201,1
149.47,149.43,149.47,149.43,149,8358,149.451306,1
149.42,149.4,149.42,149.4,106,3025,149.409288,0
149.395,149.415,149.44,149.39,174,14057,149.413764,1
149.42,149.41,149.42,149.4008,160,9642,149.412677,0
149.41,149.445,149.45,149.41,102,8441,149.42872,0
